id,file_content,labels
146.txt,"Help. We need help. My husband, just my son, please.
We need an ambulance. What's your address? One person.
",Paramedics
148.txt,"911: September, 911, what's the address of your emergency?
Caller: Yeah, what's the address? 5992, come on, busting my vehicle. Man, nobody want you to know where you're at. Where are you?
911: I was just on Sheridan, okay, do you know the address or intersection where you're at?
Caller: I was just on Sheridan, Captain Sheridan, and they like the guys. They just like fed off.
911: Okay, where are you at right now?
Caller: Right now. I'm on. I'm trying to go home right now. Man, I'm just trying to recover because I got hit with a bunch of shards.
911: Okay, well, I need to have an officer go out to take a report. Are you gonna wait there?
Caller: Yeah, okay, tell me where you gonna stop so I can send an officer out. Okay, I'm gonna stop at 29th in Depew.
911: What is it? 29th in Harlan, 29th",Paramedics
15.txt,"911: Hello.
Caller: Hello, hello.
911: 911, what happened? Can you get him on the phone? Okay? Does he need an ambulance or police? Okay, ambulance or police? Ma'am, hello. Hi, can I talk to your dad?
Caller: Okay, does he need an ambulance or police? Okay? No, ask him. Does he need? Ask him if he needs police or ambulance. It's okay. It's okay. No, can I'm talking Okay. Stay on the phone. Stay on the phone with me. Okay. 
911: Hello, stay on the phone. Do you need an ambulance? Okay, they're on their way. Okay, the police. Can you, can you unlock the door for me? Okay, can you No, stay on the phone, keep the phone open, put the phone down. Put the phone down and go open the door. Okay, okay, Aaron. Aaron, oh, as I think, be glad.",Paramedics
157.txt,"911: Hi, what is the address of your emergency?
Caller: I have a suicidal teenager at my house, 503 Nighthawk Drive. I need help, I need to do this immediately.
911: What's your name? Calm down and tell me your address again. Excuse me, tell me your address, ma'am.
Caller: 503 Nighthawk Drive. And my phone number there is [phone number]. Tell me exactly what happened. It's still happening. He is trying to kill himself. I need an ambulance now.",Paramedics
158.txt,"Caller: Roll the cops, throw an ambulance. Shots fired. A baby's been hit in the head. Please come now.
911: Okay. Don't hang up. Okay, please. I need medical. Baby was shot. Baby, shot father. Who shot the baby?
Caller: The father, where's he at right now? Where's the baby? The baby's in his father's arms.",Paramedics
16.txt,"911: Kids, yes, sir, is there any way you can get the animals away from us?
Caller: No. Bats to trash them away. I got this kid who was badly injured. How old are the kids? I have no idea. Man, okay. Are they like teenagers? Are they little kids or yes? Hey, come back. Hey, come back. You gotta stay here. Bucha, you gotta stay here. I know, I know, I know. I know it hurts. My man, I know it hurts. Hey, I'm getting help over. Okay, how many kids are injured, sir? It's one kid. It's one kid. Do you have an ambulance coming? Yes, we're getting an ambulance on the way. Okay, good deal. I know. Man, I know, bro, I know, I know. Man, we gotta stay here right now.
911: Yeah, I got him taken off. It's like there's a local sheriff, the sheriff's house right here, under, over there somewhere. Man, oh. Or let me get Southwest Ambulance on the line with us. Okay, stay on the line. Don't hang up. No, you're not, man, you're not. That's all.",Paramedics
164.txt,"911: Okay, this is County. It's a medical emergency. I can't understand the caller, but they are at 565 7th Lamb, 565 7th Lamb, L-A-M-B. It is a five-year-old at University Apartments. Apartment. There is something wrong with the child, I can't understand. Okay, did she drown?
Caller: She... She watched, yeah.
911: Is she breathing now? How old is she? You can... I got medics on the way already.",Paramedics
169.txt,"911: Are you calling 911? What's your emergency?
Caller: Yes, we're at a pool, and I have a little girl that is down and she's not breathing. We are trying CPR right now.
911: Okay, where are you at? What lake? Like Gucci Pool?
Caller: Yes, like Gucci Pool.
911: You know where that is, like Gucci Pool. I don't, I'm not sure. Hold on one second. Tiffany, Hello, yes, swimming pool. Those Gucci swimming pool, yes. Okay, that's why we're trying to, we're trying to get people online now. We'll get somebody there as fast as you can. Okay, okay, all right. No, they don't just swim in the pool. I... they don't know... we're doing CPR on her right now. They're doing CPR on her now. I JM, JP, never, did somebody call? We're trying to get them on the way, hurry. We don't know if she's breathing or not. She got a hotdog or something stuck in her throat, and she was in the water. Please? Yes, Jay, sorry, I got the wrong number. We need somebody here now.",Paramedics
171.txt,"911: Nine one one. What's the address of your emergency?
Caller: Hello, Hi, what's your address? Tell me your address. 65 Days, 14, 20,000.
911: Okay, okay. How old is your son? Okay, ma'am, okay. Is anybody there with you? Okay, he's not conscious right now. Okay. Is he breathing at all? Okay, if he's getting any air at all, can you be really hear it or see his chest? His chest rise and fall. Do you know what he's choking on?
Caller: I have no, no idea. Okay, okay, I don't, I don't want you to slap him on the dock. Okay, I'm getting an ambulance head in your way. Okay, okay, yes, okay, you're by him right now. By him, right now. Okay, okay, what? Tell me exactly what you see and hear him doing, okay. Okay. Is he face up on the ground? Are you having lay him face up on the ground?",Paramedics
172.txt,"911: Now, an emergency. What are you reporting?
Caller: Hi, I'm reporting an airplane crash at SFO, an airplane crash at SFO, yeah, we were hiking on a trail outside of Pacifica, and we just heard a giant explosion, along with a couple of other hikers, and they saw that an airplane had crashed right there at SFO, actually at the airport.
911: Yeah. What's your name?
Caller: My name is Jared Boxer.
911: Hi, Jared, hang on the line. I'll transfer you over to the police department at SFO.
Caller: Okay, okay, thank you.",Paramedics
173.txt,"911: Okay, okay, listen to me, is the baby out of the pool? Okay?
Caller: She's breathing. No, she's not okay.
911: Does anyone know how to do CPR? Okay, I can tell you. How old is the child? Okay. Where is she laying? Is she laying on the floor, on the bed? Okay? I see you are doing CPR, can you listen to me? Okay, is she laying on a hard surface? Okay, okay, turn her to the left, okay, okay, okay, and they should see if she's breathing, then if she's throwing up while breathing.",Paramedics
175.txt,"911: 911, what is the address of your emergency?
Caller: Yeah, this is emergency. I'm a cab driver. This guy, he says, my friend, he died on the road, but I don't see him. We are in the Mission. Mission on Rosedale Park, Rosedale Park, your Rosedale Park?
911: Yes, yeah, he's crying. And he says, ""My friend is dead,"" but I don't see anything. Your friend is what?
Caller: I don't see anything, but he is crying. He says, ""My friend is here."" I don't know where.",Paramedics
176.txt,"911: 911, what city is your emergency?
Caller: Okay, 220 South, 1180 West, Utah.
911: Okay, tell me that one more time so I know you have it right. 220 South, 1180 West, Utah. Okay, and I have officers headed over there. Tell me the phone number you're calling from, okay. I have officers on the way. I need to know what happened.
911: I need you to calm down for a minute. I understand 220 South, 1180 West, my partner is dispatching somebody. I need to know exactly what happened, who is bleeding? Slow down, calm down. I can't understand you. You need to talk a little quieter.
Caller: What? Okay.
911: Okay, take a breath for me. Okay, what is your name? Okay, listen, listen, okay, I have officers on the way. Okay, tell me, tell me your name. Tell me your name. My officers are on the way. I need to have some information from you. Okay, I don't know what's going on. Hello, hello, hello, yes, okay, okay.",Paramedics
177.txt,"911: 911, what is the address of the emergency?
Caller: Help me. Help me. Quick. Arlington on the pond.
911: What is your lake? What is your address?
Caller: So what? What is the address? 1538 Courtland, but I drove through and I'm in the lake, and hurry up. I'm shaking. Hurry up, sir, sir, I need you to calm down.
911: 1538 Courtland Drive, yeah, Sir, calm down. I'm getting you out. Car, driver, like I'm in the lake. Okay, sir, I'm getting you help. Okay, okay, sir, they're on the way for helping. Hurry up, sir. They're on the way. Are you in the car?
Caller: Yeah, I'm in the car. Okay. What kind of a car are you in? I'm in a brand new Cadillac. You're in a brand new Cadillac. Okay, all right.",Paramedics
178.txt,"911: Subject on foot, Granny, 689, any further, any bolo. 7000 block Collins.
Caller: 681, those seven great calls.
911: Mulatto male, probably the old cream COVID shirt. Yes, I'll 601. Mulatto male, cream COVID shirt, Lexington southbound, 7000 block calls on foot, 71 point. Six foot, one mulatto male wearing a cream colored shirt one minute time, really, I've seen running southbound 7000 black holes And the long sleeve shirting dreads and long sleeve shirt possibly make it to the water, and I had The last visual negative he went south Bucha from 7000 block columns, reference containment advisor for a perimeter should be sent. Anyone, your advisor at seven want to call you? Unit 469, counts, 1092, and. Okay, in your vehicle I'm going by. So make your way to 600 calls.",Paramedics
184.txt,"Seizures on Sunset. Larrabee, please come here. Okay, calm down a little bit. Okay. What's the address, the
Viper Room. What's the address, Sir, do
you know, sir? Calm down a little
bit. Okay. Calm
down. You can't calm down. Just the phone with somebody else. There's no one else around him or something. I don't know
who's with him right now.
Okay, can you talk to her from where you are?
Calm down. Tell her not to give him mouth to mouth to mouth. You only give him mouth to mouth if he's not breathing. What's he doing? Just seems like he's sleeping. Okay. That's very normal. Okay. That's very normal. Sometimes, if the impact, sometimes they do actually go to sleep. If he goes into another seizure, okay? And sometimes they do that, just let him have a seizure. Don't try and restrain him, all right. Do not put nothing in his mouth. Okay, okay. He will not swallow his tongue. Just let him go and have a seizure. Paramedics are on the way. They should be there soon.",Paramedics
19.txt,"911: 911, yes, hello, I need your help.
Caller: Okay, tell me where you're at. Alright, just flying with my buddy.
911: You were sliding, flying, flying. Yeah, okay, we just went down. Tell me where you're at. I don't know, we're in the middle of the woods.
Caller: Okay, you need to tell me what area you were in, pad 65 head of yours, I think, down near the river. That's all I know. He was experienced.
911: Listen, your name, okay, my name is Tom. Tom. What he's hurt badly. Tell me his last name. What's your last name?
Caller: Williams.
911: Okay, is the aircraft on fire?
Caller: No, but it's leaking gas, and he's stuck, and I cannot get him out. So you're up near Goldsberry Road. What you're up near Goldsberry Road? I'm not sure. Ma'am, sure. I'm sorry, that's okay. We need to try to get Are you? Are you anywhere near a mailbox or anywhere?
Caller: We're in the middle of a frickin cornfield?
911: Medic, one standby for a medical run. My background where?",Paramedics
197.txt,"You're bleeding. Police, Fire, Ambulance, ambulance,
okay, where are you located? Number 10.
Apartment 10, you said yes, apartment 10,
okay, you're in Lorraine, correct, yes, okay, what's going on there?
My friend, my
boyfriend, is like he cut himself underneath.
I don't know what it was. Bleeding.
Bleeding. Okay,
no, I'm not bleeding. Is
it still bleeding?
Clean dry cloth and press down on that
he's got stomach pains.
Did he eat something? I Okay.
I Really? Ma'am, ma'am, okay, I don't need that. Ma'am, ma'am,
I'm gonna contact the ambulance. Do not hang on. I'm right back. Okay. 5520 beaver crest, apartment number 1055. 20 beaver crest. Apartment 10 or a four year old male, I'm sorry having abdominal pain. We're on the way Hello, yes, ma'am, yes, okay, what's going on?
My boyfriend is drunk and blowing up. Hey,
ma'am, I'm the same person who just talked to you, okay. What is he doing now? Is he just throwing up? Or I heard you calling, okay, I hear
him moaning you
out. Miss. Me, did
he take anything? No, no medication, no drugs, nothing, no, no, no,
okay. Is he in the
bathroom? No side. Make sure he's on his side. He needs to
be on his side. Okay,
ma'am, all right. I need you to take a deep breath for me calm down. Okay.
Take a deep breath. Is he awake? Okay? Is he awake?
Though his eyes open?
No. Okay,
all right. I just need, I need you to calm down. Okay, okay. I've contacted most for you already, okay, but I need you to calm down so that we can help him.
Is his arm? Is his arm still bleeding?
All right? Is he on his side? Yeah, okay, that's, that's so he doesn't choke on his
throw off ma'am.
Oh, ma'am. In the ambulance, get into the apartment. You have to go downstairs to let them in a way to buzz them in or No, no,
stay with you? No, can
you get a neighbor? Or can you
miss? Oh. Okay. Okay, ma'am, is he still breathing? Yeah, he has to be breathing. Okay, as long as I just need you to watch his breathing. That's at this point Eric there, right now, it's all we care about is make sure he's still breathing. Ma'am, okay,
ma'am,
ma'am,
ma'am, okay, I need you to make sure that the ambulance can get in. Okay. Where, where are you at right now in relation to him, Okay, I need you to try to go out. Is there? Do you know of any neighbors are up? Or can you prop the outside door open? Okay, I need you to run downstairs, prop the door open, run back upstairs. I need you to do it quickly. Okay, just I need you also to calm down. Okay, all right, I can't, they're on the way. Okay, just take a deep breath for me so you and I need you to calm down. It's an order. Let's go ahead and open that way at least. And then when you go to your apartment, leave the door open. It's open. It's wide open, your apartment door. Go ahead back upstairs if you've got the if you got the outside door open, go ahead upstairs
to make sure he's still breathing.
He's still breathing,
He's snoring, he's
probably sleeping. Has he been drinking any alcohol tonight? Yes,
all type stuff.
The ambulance.
Know that that he's had he was heavily intoxicated. Okay, breath and
relax, because he was gonna get in the shop.
I know he just started, right?
I'm sure he just drank too much. Oh,
Lord, oh my God. He told me that
looks like he tore his skin on something. Maybe he fell,
yeah, did he get the cut on his arm? I don't know. That's what I was saying. Is that bleeding anymore? It's not bleeding anymore, is it? No, it's not okay.
Oh, god,
oh god,
ambulance. There yet. No,
it hasn't
been that long. It just feels like it's a lot longer than,
Oh, my God. It
hasn't been 10 minutes. Oh,
a couple minutes, they'll be there.
A couple
minutes, I
just talked to the ambulance for you. They'll be
there a couple minutes. Eyes are open, but it's not mine.
Casey breathing, ma'am,
hello, I need you to see these. Breathing. Okay?
I need you to see if he's breathing. Okay, if he's breathing, then he has a pulse, I don't
Oh, my God. Oh, this wrong. Please.
Hey, I need you to,
I need you to watch his breathing. Okay, okay, right? That's our, that's our main concern, right now he is breathing.
Is he still snoring, but
his eyes were open. He never sleeps like that.
He snoring, but his eyes were wide open. Was taking them so long. Over
there in just a couple minutes, about a minute and a half, two minutes, yes, Is he breathing? Still? On.
Oh, my God, are they taking so long, sir, just feels like It's longer
than it really is.
Baby, oh, my gosh. I'm still
here. You yelling at me? Yeah,
I can hear him. He seems
like he's waking up. You okay?
Oh, my Lord, okay,
take a deep breath for me. Oh, god. Oh my lord. Jerome. Jerome, Jerome, let's okay,
this chest moving up and down. Yeah, he's breathing, okay. Then
Jerome, oh, my God, they're taking forever. Oh my god, they're taking forever. Oh my god,
Jerome, oh my god.
Jerome. Jerome. Jerome, okay.
Listen to me. Okay. See if
you can feel him
breathing. Wow.
Hey, I don't know what the going over the place, ma'am, you hear me?
Okay, we're gonna try CPR, if he's not breathing, all right, ma'am, ma'am, ma'am.
I need you to calm down so we can help them. Okay.
Is not going to solve anything. Is he breathing?
Okay? If he's not breathing, ready to CPR, will you listen to me so he can help okay, what I need you to do is he is flat on the back, on his back, right now, okay, okay. Make sure there's no pillows underneath him. And what I need you to do is put your hand, put your hand on his forehead and tilt his head back, putting your other hand under his neck. Okay, okay, all right. Listen, do you hear any breathing at all?
No. Okay,
we're gonna do CPR, okay,
ma'am. You
Oh, ma'am,
okay, ma'am, what I need you to do is, I need you to put the heel of your hand on his breastbone, in the center of his chest, okay, yeah, okay, right between the nipples, and put the other hand on top of that hand, all right. Okay, push down firmly, two inches and keep going. Okay, ma'am, are you doing it?
Ma'am, stop screaming and listen to what I'm telling you. Okay.
Okay, then let them in.
Are they coming up.
The ambulance there, they're
not in the house. Then we're going to do CPR. Are you pressing down? Are you? You keep going? You push down firmly. Two inches. Keep pressing. Okay, as hard as you can, two inches down. Okay, 1234, keep going. Keep
going. Ma'am, you're doing good. Keep going.
Ma'am. All right, ma'am, ma'am, ma'am,
madam chair here. Sir, all right. Thank you. Bye, bye.",Paramedics
202.txt,"November nine, 2013
1840, 80691,
location of your emergency. Okay, so okay,
I'm at Wildcat Haven. We've had one of our keepers get attacked.
Okay, I'm going to get you over to the correct fire dispatch just one moment for me. Okay, oh,
my God. I I understand,
sir, I don't just touch on a COVID there I'm transferring you. Stay on the line. Okay, there we are hiring. They come with a medical transfer. 31369, Southwest heater road at Wildcat Haven. I'm going to stay on the line and monitor, in
case any police go ahead, sir. Hello. I have a key. While Ken Haven was attacked, I guess I just got home here, and I think she's back. But please hurry.
We have Coover. Okay, pardon me
by a cougar, I believe. Okay, I'm going back down. I need you guys here. I gotta go back down to her. I gotta go back down to her. Okay, she's down the enclosure. I'm going down to get her. Can you hear me, I'm on a corner store and it's gonna run out in a
minute here. Okay,
I'm gonna lose you here. Okay, do you hear me?
We have a gate. We have a gate. I can't see I'm going
back down. It's dark. Oh my
god. Oh my god, oh
my god, oh my god, oh my god, oh my god,
oh my God. Are you in a safe
position to be able to go in by yourself?
Okay, we don't. We don't want you to get injured, though. I don't want
you to get hurt. Yeah,
oh, my God. Oh, my God, You
kind of injury,
Hello, hi. This is this is the best friend we have on the way over there to you. Have you gotten Are you in the enclosure right now? I'm back out. Is your friend still in the enclosure? I got her out. Okay.
Can we try? CPR, no,
no. Okay. What's your name, sir, Mark.
Okay, if anyone else in danger at this point is in danger, okay, so you think that she is beyond help. But yeah, I do. Okay. I would. And so can I start someone that way for you to talk to, like
a chaplain or something? I
lost somebody for you. Hello, whatever.",Paramedics
